x,y
692355.0350177977,5971825.98692993
690422.9875834944,5971933.577213151
688490.9401491912,5972041.167496374
686558.8927148879,5972148.757779595
684626.8452805846,5972256.348062817
682694.7978462814,5972363.938346039
680762.7504119781,5972471.52862926
678830.7029776749,5972579.118912482
676898.6555433716,5972686.709195704
674966.6081090684,5972794.299478926
673034.560674765,5972901.889762147
671102.5132404618,5973009.480045369
669170.4658061585,5973117.07032859
667238.4183718553,5973224.660611813
665306.3709375521,5973332.2508950345
663374.3235032487,5973439.841178256
661442.2760689455,5973547.431461478
659510.2286346422,5973655.021744699
657578.181200339,5973762.612027921
655646.1337660357,5973870.202311143
653714.0863317325,5973977.792594365
651782.0388974292,5974085.382877586
649849.9914631259,5974192.973160808
698229.500552616,5972909.701821579
696297.4531183126,5973017.2921048
694365.4056840094,5973124.882388022
692433.3582497062,5973232.472671243
690501.3108154029,5973340.062954465
688569.2633810997,5973447.653237687
686637.2159467964,5973555.243520909
684705.1685124931,5973662.833804131
682773.1210781899,5973770.424087352
680841.0736438866,5973878.014370574
678909.0262095834,5973985.604653795
676976.9787752801,5974093.194937018
675044.9313409769,5974200.785220239
673112.8839066735,5974308.375503461
671180.8364723703,5974415.965786682
669248.789038067,5974523.556069904
667316.7416037638,5974631.1463531265
665384.6941694606,5974738.736636348
663452.6467351572,5974846.32691957
661520.599300854,5974953.917202791
659588.5518665507,5975061.507486013
657656.5044322475,5975169.097769234
655724.4569979442,5975276.688052457
653792.409563641,5975384.278335678
651860.3621293377,5975491.8686189
649928.3146950344,5975599.4589021215
698307.8237845245,5974316.187562891
696375.7763502211,5974423.777846113
694443.7289159179,5974531.368129334
692511.6814816147,5974638.958412556
690579.6340473114,5974746.548695778
688647.5866130082,5974854.138979
686715.5391787048,5974961.729262222
684783.4917444016,5975069.319545443
682851.4443100984,5975176.909828665
680919.3968757951,5975284.500111886
678987.3494414919,5975392.090395108
677055.3020071886,5975499.68067833
675123.2545728853,5975607.270961552
673191.207138582,5975714.8612447735
671259.1597042788,5975822.451527995
669327.1122699755,5975930.041811217
667395.0648356723,5976037.632094439
665463.017401369,5976145.222377661
663530.9699670657,5976252.812660882
661598.9225327625,5976360.402944104
659666.8750984592,5976467.993227325
657734.827664156,5976575.583510547
655802.7802298527,5976683.173793769
653870.7327955494,5976790.764076991
651938.6853612462,5976898.354360213
650006.6379269429,5977005.944643434
698386.1470164331,5975722.673304205
696454.0995821299,5975830.263587426
694522.0521478265,5975937.853870648
692590.0047135233,5976045.4441538695
690657.95727922,5976153.034437091
688725.9098449168,5976260.624720314
686793.8624106135,5976368.215003535
684861.8149763102,5976475.805286757
682929.7675420069,5976583.395569978
680997.7201077037,5976690.9858532
679065.6726734005,5976798.576136421
677133.6252390972,5976906.166419644
675201.577804794,5977013.7567028655
673269.5303704906,5977121.346986087
671337.4829361874,5977228.937269309
669405.4355018841,5977336.52755253
667473.3880675809,5977444.117835753
665541.3406332777,5977551.708118974
663609.2931989743,5977659.298402196
661677.2457646711,5977766.888685417
659745.1983303678,5977874.478968639
657813.1508960646,5977982.0692518605
655881.1034617613,5978089.659535083
653949.056027458,5978197.249818305
652017.0085931548,5978304.840101526
650084.9611588515,5978412.430384748
698464.4702483416,5977129.159045518
696532.4228140383,5977236.74932874
694600.375379735,5977344.3396119615
692668.3279454318,5977451.929895183
690736.2805111285,5977559.520178405
688804.2330768253,5977667.110461627
686872.185642522,5977774.700744849
684940.1382082187,5977882.29102807
